Point,Time (s),Temperature (K)
185,4.625900e+01,10.109324
186,4.650600e+01,10.103615
187,4.676600e+01,10.099051
188,4.700700e+01,10.099970
189,4.725600e+01,10.102977
190,4.751300e+01,10.103670
191,4.776200e+01,10.100929
192,4.801000e+01,10.088252
193,4.825700e+01,10.078582
194,4.851200e+01,10.067618
195,4.876200e+01,10.058972
196,4.901200e+01,10.046078
197,4.925800e+01,10.038846
198,4.951100e+01,10.035585
199,4.976300e+01,10.036014
200,5.001100e+01,10.034785
201,5.025900e+01,10.035008
202,5.051100e+01,10.036872
203,5.076600e+01,10.033394
204,5.100900e+01,10.028890
205,5.125600e+01,10.026340
206,5.151000e+01,10.023730
207,5.175700e+01,10.021986
208,5.201000e+01,10.023145
209,5.226100e+01,10.020773
210,5.251000e+01,10.017393
211,5.276000e+01,10.012717
212,5.301300e+01,10.006879
213,5.326100e+01,10.000146
214,5.351100e+01,9.997848
215,5.376000e+01,9.999468
216,5.401300e+01,10.000119
217,5.426100e+01,10.003270
218,5.451600e+01,10.006649
219,5.476300e+01,10.009849
220,5.500900e+01,10.009168
221,5.526200e+01,10.004994
222,5.551100e+01,10.000072
223,5.576000e+01,9.995151
224,5.600600e+01,9.995001
225,5.626100e+01,9.996408
226,5.651800e+01,10.000547
227,5.676200e+01,9.999096
228,5.701200e+01,9.990394
229,5.726100e+01,9.983004
230,5.751500e+01,9.980951
231,5.776700e+01,9.981851
232,5.801200e+01,9.979077
233,5.826100e+01,9.977577
234,5.851200e+01,9.983220
235,5.877000e+01,9.981999
236,5.901200e+01,9.977656
237,5.925900e+01,9.977527
238,5.951200e+01,9.971676
239,5.976800e+01,9.970639
240,6.001100e+01,9.968946
241,6.025700e+01,9.970206
242,6.051100e+01,9.977872
243,6.076400e+01,9.984189
244,6.101200e+01,9.990548
245,6.126600e+01,9.995269
246,6.151200e+01,9.994175
247,6.176100e+01,9.991722
248,6.201700e+01,9.987969
249,6.226300e+01,9.984863
250,6.251700e+01,9.980688
251,6.275800e+01,9.977980
252,6.300900e+01,9.979045
253,6.326200e+01,9.977901
254,6.352000e+01,9.975164
255,6.376100e+01,9.974801
256,6.401900e+01,9.974591
257,6.426600e+01,9.972883
258,6.451300e+01,9.971954
259,6.476200e+01,9.968758
260,6.500800e+01,9.962165
261,6.526900e+01,9.954078
262,6.552800e+01,9.953929
263,6.576200e+01,9.955026
264,6.601600e+01,9.954617
265,6.626800e+01,9.953509
266,6.651200e+01,9.949648
267,6.676700e+01,9.947238
268,6.701200e+01,9.949222
269,6.725800e+01,9.954364
270,6.751000e+01,9.957846
271,6.776800e+01,9.963168
272,6.801200e+01,9.968518
273,6.826600e+01,9.969522
274,6.851100e+01,9.967119
275,6.875700e+01,9.963881
276,6.901500e+01,9.959162
277,6.925600e+01,9.956527
278,6.950900e+01,9.959929
279,6.977200e+01,9.961148
280,7.001200e+01,9.959542
281,7.026000e+01,9.954070
282,7.050900e+01,9.950877
283,7.076000e+01,9.951872
284,7.101200e+01,9.953595
285,7.126000e+01,9.957747
286,7.150900e+01,9.963611
287,7.176000e+01,9.967939
288,7.201200e+01,9.967808
289,7.225900e+01,9.968583
290,7.251000e+01,9.966314
291,7.276000e+01,9.958649
292,7.300800e+01,9.951893
293,7.325800e+01,9.951738
294,7.350700e+01,9.952240
295,7.376000e+01,9.951632
296,7.401300e+01,9.955130
297,7.425900e+01,9.964686
298,7.451000e+01,9.971496
299,7.476000e+01,9.973229
300,7.500900e+01,9.979258
301,7.526000e+01,9.983846
302,7.551000e+01,9.988582
303,7.576000e+01,9.993196
304,7.601000e+01,9.996994
305,7.625900e+01,10.001113
306,7.650900e+01,10.003679
307,7.676300e+01,10.001485
308,7.700500e+01,9.997341
309,7.725500e+01,9.996072
310,7.751000e+01,9.993959
311,7.776100e+01,9.994786
312,7.800600e+01,9.997584
313,7.825600e+01,9.998624
314,7.850900e+01,9.999408
315,7.876500e+01,9.997325
316,7.901000e+01,10.000516
317,7.926000e+01,10.003262
318,7.951000e+01,10.003092
319,7.976000e+01,9.999359
320,8.000800e+01,9.995866
321,8.026100e+01,9.997766
322,8.050900e+01,9.998056
323,8.076100e+01,9.991959
324,8.100700e+01,9.988070
325,8.126200e+01,9.987183
326,8.151000e+01,9.989075
327,8.176200e+01,9.992180
328,8.201200e+01,9.993327
329,8.225800e+01,9.993460
330,8.251100e+01,9.991330
331,8.276200e+01,9.989971
332,8.301800e+01,9.989552
333,8.325900e+01,9.987651
334,8.351400e+01,9.991308
335,8.376000e+01,9.996939
336,8.401100e+01,9.998904
337,8.426600e+01,9.997499
338,8.451100e+01,9.996923
339,8.475900e+01,9.998289
340,8.500900e+01,9.998807
341,8.526000e+01,10.002881
342,8.551500e+01,10.007048
343,8.575700e+01,10.005187
344,8.601200e+01,10.004809
345,8.626500e+01,10.005383
346,8.651300e+01,10.003444
347,8.675800e+01,10.003401
348,8.701100e+01,10.003069
349,8.725800e+01,10.001999
350,8.750900e+01,9.999369
351,8.776100e+01,9.995516
352,8.801000e+01,9.992179
353,8.826000e+01,9.996256
354,8.851500e+01,10.002699
355,8.876200e+01,10.006219
356,8.901200e+01,10.008224
357,8.926200e+01,10.009540
358,8.950800e+01,10.006693
359,8.976100e+01,10.006439
360,9.001500e+01,10.008338
