Point,Time (s),Temperature (K)
185,4.626100e+01,9.985885
186,4.651200e+01,9.990974
187,4.675800e+01,9.996403
188,4.700800e+01,10.001984
189,4.725800e+01,10.006950
190,4.751100e+01,10.016778
191,4.775800e+01,10.025105
192,4.801100e+01,10.029223
193,4.826100e+01,10.027714
194,4.850900e+01,10.019416
195,4.876000e+01,10.015254
196,4.900900e+01,10.010961
197,4.925900e+01,10.003889
198,4.950900e+01,9.997025
199,4.975800e+01,9.996000
200,5.001100e+01,9.994107
201,5.025800e+01,9.994234
202,5.051000e+01,9.992501
203,5.077600e+01,9.989182
204,5.101300e+01,9.988033
205,5.125800e+01,9.990209
206,5.151100e+01,9.987878
207,5.176000e+01,9.989961
208,5.200700e+01,9.996308
209,5.226300e+01,10.001439
210,5.251000e+01,10.011299
211,5.276400e+01,10.013329
212,5.300800e+01,10.010174
213,5.326400e+01,10.001416
214,5.350800e+01,9.994919
215,5.375900e+01,9.992052
216,5.401000e+01,9.988854
217,5.426500e+01,9.982649
218,5.450900e+01,9.984336
219,5.477000e+01,9.984697
220,5.502800e+01,9.984680
221,5.527100e+01,9.984236
222,5.551400e+01,9.985810
223,5.576600e+01,9.988538
224,5.601400e+01,9.994419
225,5.625900e+01,9.996991
226,5.651400e+01,9.994074
227,5.676500e+01,9.996199
228,5.700800e+01,9.999081
229,5.726100e+01,10.003738
230,5.751200e+01,10.007009
231,5.776000e+01,10.008321
232,5.801100e+01,10.007309
233,5.825900e+01,10.002800
234,5.851300e+01,10.002436
235,5.875800e+01,9.995301
236,5.901300e+01,9.985034
237,5.926000e+01,9.978083
238,5.951200e+01,9.981611
239,5.976300e+01,9.986244
240,6.001300e+01,9.993614
241,6.026200e+01,10.003478
242,6.051000e+01,10.005695
243,6.076300e+01,10.006224
244,6.101700e+01,10.001233
245,6.126500e+01,9.999471
246,6.151000e+01,10.002656
247,6.176300e+01,10.003067
248,6.201600e+01,10.002011
249,6.226100e+01,10.002081
250,6.251000e+01,9.999698
251,6.276300e+01,10.000155
252,6.301000e+01,10.004936
253,6.326300e+01,10.001805
254,6.351000e+01,9.999318
255,6.377300e+01,9.998124
256,6.402600e+01,10.006193
257,6.425900e+01,10.011600
258,6.451100e+01,10.016075
259,6.476200e+01,10.017827
260,6.501000e+01,10.016001
261,6.526000e+01,10.011392
262,6.551100e+01,10.005152
263,6.576600e+01,10.002187
264,6.601000e+01,9.998554
265,6.626100e+01,9.996631
266,6.650800e+01,9.989846
267,6.676300e+01,9.980044
268,6.700800e+01,9.977291
269,6.725800e+01,9.979465
270,6.751300e+01,9.984307
271,6.776700e+01,9.986687
272,6.801300e+01,9.983782
273,6.827100e+01,9.982512
274,6.850900e+01,9.982467
275,6.876400e+01,9.983274
276,6.900900e+01,9.982519
277,6.926200e+01,9.985077
278,6.951600e+01,9.991606
279,6.976800e+01,10.009775
280,7.001400e+01,10.020326
281,7.026100e+01,10.024992
282,7.051100e+01,10.025090
283,7.076100e+01,10.025556
284,7.101000e+01,10.023759
285,7.125900e+01,10.020387
286,7.150800e+01,10.020910
287,7.175900e+01,10.024660
288,7.200900e+01,10.027053
289,7.226200e+01,10.019793
290,7.251700e+01,10.007955
291,7.276100e+01,9.997646
292,7.301000e+01,9.996709
293,7.325900e+01,9.999355
294,7.351400e+01,10.004304
295,7.376200e+01,10.005137
296,7.401100e+01,10.001564
297,7.425800e+01,9.999027
298,7.451400e+01,9.997710
299,7.476400e+01,9.994871
300,7.501300e+01,9.992728
301,7.526100e+01,9.994175
302,7.551700e+01,10.004601
303,7.576100e+01,10.003395
304,7.601400e+01,10.000877
305,7.625900e+01,9.999036
306,7.651500e+01,10.002207
307,7.676000e+01,10.006617
308,7.701300e+01,10.008701
309,7.727600e+01,10.011138
310,7.751400e+01,10.014243
311,7.776100e+01,10.015171
312,7.801500e+01,10.011402
313,7.826100e+01,10.007063
314,7.851300e+01,10.002449
315,7.876500e+01,9.996722
316,7.901200e+01,9.992012
317,7.926100e+01,9.990502
