Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,4.900000e-02,8.910363,1.794450e-02,-0.042000
1,1.543000e+00,8.907690,1.794450e-02,0.096000
2,3.036000e+00,8.886379,1.791390e-02,0.204000
3,4.543000e+00,8.898467,1.794450e-02,0.180000
4,6.040000e+00,8.895726,1.793300e-02,0.054000
5,7.533000e+00,8.899230,1.789490e-02,0.216000
6,9.037000e+00,8.898664,1.785670e-02,0.126000
7,1.054400e+01,8.885954,1.791780e-02,0.204000
8,1.203300e+01,8.900306,1.787580e-02,0.192000
9,1.354900e+01,8.900686,1.793680e-02,0.150000
10,1.503900e+01,8.895815,1.789490e-02,0.216000
11,1.654300e+01,8.896558,1.794450e-02,0.072000
12,1.804200e+01,8.877904,1.791780e-02,0.000000
13,1.953100e+01,8.877965,1.793680e-02,0.000000
14,2.103300e+01,8.882614,1.793680e-02,0.138000
15,2.255100e+01,8.880109,1.792160e-02,0.216000
16,2.404000e+01,8.890598,1.794450e-02,0.066000
17,2.554300e+01,8.887959,1.792540e-02,0.192000
18,2.703300e+01,8.871363,1.793300e-02,0.000000
19,2.854300e+01,8.868154,1.793680e-02,0.126000
20,3.003200e+01,8.864822,1.791780e-02,0.216000
21,3.155600e+01,8.863467,1.794060e-02,0.054000
22,3.303600e+01,8.857284,1.792160e-02,0.012000
23,3.455000e+01,8.850608,1.792920e-02,0.204000
24,3.604400e+01,8.840501,1.793300e-02,0.084000
25,3.754900e+01,8.854445,1.790250e-02,0.078000
26,3.903100e+01,8.868777,1.794060e-02,0.162000
27,4.053700e+01,8.861549,1.792540e-02,0.018000
28,4.204000e+01,8.849205,1.792920e-02,-0.018000
29,4.353600e+01,8.852052,1.793680e-02,0.114000
30,4.503800e+01,8.832011,1.789870e-02,0.216000
31,4.654300e+01,8.849303,1.786050e-02,0.174000
32,4.803100e+01,8.840989,1.792540e-02,0.030000
33,4.954200e+01,8.838312,1.787960e-02,0.216000
34,5.103900e+01,8.844096,1.793680e-02,0.108000
35,5.254300e+01,8.833343,1.790250e-02,0.204000
36,5.404300e+01,8.828752,1.793300e-02,0.030000
37,5.554300e+01,8.827698,1.792540e-02,0.162000
38,5.703200e+01,8.828225,1.792160e-02,-0.030000
39,5.854300e+01,8.828233,1.793300e-02,0.096000
40,6.003900e+01,8.833461,1.790250e-02,0.204000
41,6.153400e+01,8.819362,1.792920e-02,0.180000
42,6.303800e+01,8.815049,1.792540e-02,0.162000
43,6.454900e+01,8.804782,1.787580e-02,0.216000
44,6.603100e+01,8.817451,1.793300e-02,0.126000
45,6.754400e+01,8.806281,1.790250e-02,-0.012000
46,6.903700e+01,8.813667,1.786050e-02,0.180000
47,7.054200e+01,8.800871,1.791390e-02,0.150000
48,7.204300e+01,8.810775,1.788340e-02,0.216000
49,7.354300e+01,8.804719,1.792920e-02,0.072000
50,7.503400e+01,8.802801,1.790250e-02,0.216000
51,7.653500e+01,8.788917,1.791390e-02,0.000000
52,7.803400e+01,8.785861,1.791010e-02,0.138000
53,7.953600e+01,8.806796,1.791010e-02,-0.042000
54,8.104500e+01,8.790178,1.791780e-02,0.066000
55,8.254200e+01,8.782661,1.789490e-02,0.180000
56,8.403900e+01,8.784394,1.791010e-02,0.192000
57,8.554200e+01,8.791906,1.792160e-02,0.126000
58,8.704200e+01,8.783682,1.789100e-02,-0.054000
59,8.854500e+01,8.776012,1.790630e-02,0.054000
60,9.004400e+01,8.775159,1.786050e-02,0.180000
61,9.154100e+01,8.775988,1.790250e-02,0.192000
62,9.304800e+01,8.779485,1.791390e-02,0.084000
63,9.454000e+01,8.778130,1.787580e-02,0.204000
64,9.603800e+01,8.761626,1.786820e-02,0.138000
65,9.754200e+01,8.764259,1.787960e-02,0.168000
66,9.903900e+01,8.765244,1.788720e-02,0.192000
67,1.005320e+02,8.761003,1.788720e-02,0.084000
68,1.020510e+02,8.749952,1.781860e-02,0.180000
69,1.035420e+02,8.745297,1.784910e-02,0.012000
70,1.050380e+02,8.772347,1.790250e-02,0.168000
71,1.065420e+02,8.766116,1.788340e-02,-0.030000
72,1.080440e+02,8.762042,1.787580e-02,0.084000
73,1.095320e+02,8.733935,1.773850e-02,0.150000
74,1.110560e+02,8.735134,1.781860e-02,0.138000
75,1.125500e+02,8.741701,1.784530e-02,-0.066000
76,1.140360e+02,8.726544,1.771560e-02,-0.096000
77,1.155420e+02,8.734727,1.782620e-02,0.066000
78,1.170370e+02,8.742007,1.781860e-02,0.174000
79,1.185300e+02,8.736448,1.780710e-02,0.138000
80,1.200360e+02,8.740710,1.783000e-02,0.126000
81,1.215490e+02,8.730959,1.771940e-02,0.150000
82,1.230390e+02,8.731515,1.778040e-02,0.030000
83,1.245500e+02,8.719432,1.763930e-02,0.108000
84,1.260320e+02,8.728325,1.779570e-02,-0.030000
85,1.275340e+02,8.719147,1.764310e-02,0.054000
86,1.290350e+02,8.734607,1.778040e-02,-0.078000
87,1.305400e+02,8.709119,1.750200e-02,-0.066000
88,1.320360e+02,8.712786,1.754390e-02,0.066000
89,1.335310e+02,8.707045,1.757060e-02,-0.120000
90,1.350340e+02,8.703881,1.733030e-02,-0.054000
91,1.365310e+02,8.699495,1.739130e-02,0.036000
92,1.380400e+02,8.706758,1.760880e-02,-0.042000
93,1.395400e+02,8.696658,1.730360e-02,-0.240000
94,1.410390e+02,8.708164,1.755540e-02,-0.132000
95,1.425460e+02,8.686011,1.694500e-02,-0.180000
96,1.440390e+02,8.687446,1.703660e-02,-0.066000
97,1.455340e+02,8.711448,1.763930e-02,0.042000
98,1.470400e+02,8.704702,1.742570e-02,-0.210000
99,1.485400e+02,8.684432,1.672760e-02,-0.186000
100,1.500430e+02,8.681838,1.706710e-02,-0.336000
101,1.515430e+02,8.687947,1.732270e-02,0.024000
102,1.530430e+02,8.674997,1.639950e-02,-0.330000
103,1.545410e+02,8.673761,1.663600e-02,-0.240000
104,1.560320e+02,8.678174,1.703270e-02,-0.300000
105,1.575410e+02,8.669413,1.623930e-02,-0.414000
106,1.590390e+02,8.684949,1.724260e-02,-0.264000
107,1.605440e+02,8.662174,1.494990e-02,-0.792000
108,1.620310e+02,8.662016,1.620500e-02,-0.330000
109,1.635430e+02,8.683105,1.713570e-02,-0.276000
110,1.650340e+02,8.665207,1.576240e-02,-0.546000
111,1.665420e+02,8.662570,1.613250e-02,-0.342000
112,1.680400e+02,8.658456,1.562510e-02,-0.660000
113,1.695430e+02,8.671664,1.680770e-02,-0.384000
114,1.710380e+02,8.645358,1.349260e-02,-1.176000
115,1.725480e+02,8.642865,1.434710e-02,-0.906000
116,1.740350e+02,8.649842,1.531610e-02,-0.534000
117,1.755420e+02,8.636366,1.227960e-02,-1.350000
118,1.770370e+02,8.642715,1.450350e-02,-0.786000
119,1.785500e+02,8.658838,1.626980e-02,-0.540000
120,1.800330e+02,8.640864,1.364520e-02,-1.050000
121,1.815520e+02,8.634744,1.329050e-02,-1.002000
122,1.830380e+02,8.635901,1.309210e-02,-1.056000
123,1.845410e+02,8.636872,1.367960e-02,-0.996000
124,1.860360e+02,8.631848,1.272970e-02,-1.338000
125,1.875450e+02,8.633947,1.325230e-02,-1.242000
126,1.890330e+02,8.632412,1.314170e-02,-1.044000
127,1.905550e+02,8.620173,1.073840e-02,-1.446000
128,1.920400e+02,8.612845,7.419620e-03,-1.770000
129,1.935430e+02,8.621670,1.217660e-02,-1.404000
130,1.950400e+02,8.622622,1.044850e-02,-1.584000
131,1.965420e+02,8.619368,1.075370e-02,-1.416000
132,1.980350e+02,8.629434,1.250460e-02,-1.164000
133,1.995420e+02,8.611764,7.629420e-03,-1.908000
134,2.010370e+02,8.598389,5.073580e-03,-2.196000
135,2.025410e+02,8.615050,1.006700e-02,-1.614000
136,2.040450e+02,8.594302,4.142790e-03,-2.274000
137,2.055300e+02,8.599710,5.889920e-03,-2.040000
138,2.070310e+02,8.603390,7.389100e-03,-1.842000
139,2.085490e+02,8.596733,3.910090e-03,-2.238000
140,2.100320e+02,8.594012,5.783110e-03,-2.070000
141,2.115450e+02,8.603019,7.236510e-03,-1.974000
142,2.130380e+02,8.601492,6.309540e-03,-2.046000
143,2.145410e+02,8.597089,5.157500e-03,-2.088000
144,2.160330e+02,8.591170,3.826160e-03,-2.322000
145,2.175410e+02,8.580824,2.811450e-03,-2.502000
146,2.190370e+02,8.582153,3.692640e-03,-2.190000
147,2.205420e+02,8.581799,3.665940e-03,-2.322000
148,2.220350e+02,8.588518,4.303010e-03,-2.208000
149,2.235460e+02,8.578611,1.964580e-03,-2.664000
150,2.250430e+02,8.572248,1.361850e-03,-2.466000
151,2.265420e+02,8.577329,1.892100e-03,-2.388000
152,2.280400e+02,8.565232,6.027260e-04,-1.920000
153,2.295480e+02,8.558973,3.395100e-04,-1.752000
154,2.310390e+02,8.566545,1.522070e-03,-2.628000
155,2.325430e+02,8.562049,4.310630e-04,-1.374000
156,2.340330e+02,8.564403,7.019080e-04,-2.172000
157,2.355440e+02,8.560705,3.356950e-04,-1.182000
158,2.370390e+02,8.559281,4.425070e-04,-1.722000
159,2.385420e+02,8.552617,1.716620e-04,-1.104000
160,2.400410e+02,8.552237,2.861040e-04,-1.950000
161,2.415430e+02,8.551242,1.831060e-04,-2.244000
162,2.430380e+02,8.550500,1.602180e-04,-1.218000
163,2.445400e+02,8.541330,3.814720e-05,-5.712000
164,2.460380e+02,8.539063,4.959130e-05,-3.816000
165,2.475420e+02,8.528508,1.144420e-05,-14.034000
166,2.490390e+02,8.537524,5.340600e-05,-3.366000
167,2.505390e+02,8.538271,3.814720e-05,-5.196000
168,2.520480e+02,8.539264,4.959130e-05,-4.398000
169,2.535450e+02,8.520994,7.629450e-06,-26.562000
170,2.550370e+02,8.529504,2.288830e-05,-7.122000
171,2.565420e+02,8.548256,3.433250e-04,-1.668000
172,2.580290e+02,8.531011,1.907360e-05,-11.310000
173,2.595390e+02,8.527197,1.144420e-05,-18.432000
174,2.610510e+02,8.525828,1.144420e-05,-18.432000
175,2.625450e+02,8.506759,0.000000e+00,0.000000
176,2.640330e+02,8.507837,7.629450e-06,0.000000
177,2.655470e+02,8.511791,3.814730e-06,0.000000
178,2.670370e+02,8.511124,3.814730e-06,-45.000000
179,2.685340e+02,8.506295,3.814730e-06,0.000000
180,2.700340e+02,8.499326,3.814730e-06,0.000000
181,2.715380e+02,8.498566,0.000000e+00,-45.000000
182,2.730370e+02,8.514997,7.629450e-06,0.000000
183,2.745390e+02,8.502761,0.000000e+00,-45.000000
184,2.760320e+02,8.493235,0.000000e+00,-45.000000
185,2.775270e+02,8.488253,0.000000e+00,0.000000
186,2.790280e+02,8.485180,0.000000e+00,0.000000
187,2.805320e+02,8.487339,0.000000e+00,0.000000
188,2.820300e+02,8.481141,0.000000e+00,0.000000
189,2.835390e+02,8.486833,0.000000e+00,-45.000000
190,2.850360e+02,8.503610,3.814730e-06,0.000000
191,2.865250e+02,8.489251,0.000000e+00,0.000000
192,2.880340e+02,8.479565,0.000000e+00,0.000000
193,2.895390e+02,8.477649,0.000000e+00,0.000000
194,2.910350e+02,8.469504,0.000000e+00,0.000000
195,2.925380e+02,8.464260,0.000000e+00,0.000000
196,2.940280e+02,8.457056,0.000000e+00,0.000000
197,2.955270e+02,8.462336,0.000000e+00,0.000000
198,2.970320e+02,8.466262,0.000000e+00,-45.000000
199,2.985330e+02,8.463981,0.000000e+00,-45.000000
200,3.000350e+02,8.471468,0.000000e+00,-45.000000
201,3.015410e+02,8.463049,0.000000e+00,-45.000000
202,3.030390e+02,8.448328,0.000000e+00,0.000000
203,3.045260e+02,8.451681,0.000000e+00,0.000000
204,3.060310e+02,8.460406,0.000000e+00,-45.000000
205,3.075370e+02,8.427699,0.000000e+00,0.000000
206,3.090310e+02,8.425243,0.000000e+00,0.000000
207,3.105370e+02,8.432138,0.000000e+00,0.000000
208,3.120350e+02,8.446781,0.000000e+00,0.000000
209,3.135280e+02,8.452926,0.000000e+00,0.000000
210,3.150320e+02,8.428606,0.000000e+00,0.000000
211,3.165370e+02,8.425632,0.000000e+00,0.000000
212,3.180350e+02,8.427798,0.000000e+00,-45.000000
213,3.195380e+02,8.443164,0.000000e+00,0.000000
214,3.210350e+02,8.425567,0.000000e+00,-45.000000
215,3.225480e+02,8.418156,0.000000e+00,-90.000000
216,3.240360e+02,8.432503,0.000000e+00,-45.000000
217,3.255370e+02,8.427211,0.000000e+00,-45.000000
218,3.270330e+02,8.426193,0.000000e+00,0.000000
219,3.285380e+02,8.425735,0.000000e+00,-45.000000
220,3.300270e+02,8.400768,0.000000e+00,0.000000
221,3.315430e+02,8.406103,0.000000e+00,-45.000000
222,3.330300e+02,8.413953,0.000000e+00,-45.000000
223,3.345300e+02,8.409835,0.000000e+00,0.000000
224,3.360310e+02,8.412890,0.000000e+00,0.000000
225,3.375370e+02,8.408475,0.000000e+00,0.000000
226,3.390290e+02,8.408149,0.000000e+00,0.000000
227,3.405460e+02,8.405286,0.000000e+00,0.000000
228,3.420340e+02,8.401735,0.000000e+00,-45.000000
229,3.435370e+02,8.398151,0.000000e+00,-45.000000
230,3.450380e+02,8.391039,0.000000e+00,0.000000
231,3.465400e+02,8.394457,0.000000e+00,0.000000
232,3.480300e+02,8.389124,0.000000e+00,-45.000000
233,3.495480e+02,8.388181,0.000000e+00,-90.000000
234,3.510330e+02,8.388863,0.000000e+00,-45.000000
235,3.525300e+02,8.398716,0.000000e+00,0.000000
236,3.540350e+02,8.409095,0.000000e+00,-45.000000
237,3.555350e+02,8.402149,0.000000e+00,-45.000000
238,3.570260e+02,8.394315,0.000000e+00,0.000000
239,3.585370e+02,8.402520,0.000000e+00,-45.000000
240,3.600300e+02,8.389544,0.000000e+00,0.000000
241,3.615370e+02,8.396757,0.000000e+00,0.000000
242,3.630260e+02,8.399817,0.000000e+00,0.000000
243,3.645370e+02,8.391858,0.000000e+00,0.000000
244,3.660270e+02,8.390471,0.000000e+00,0.000000
