Point,Time (s),Temperature (K)
185,4.626000e+01,9.986866
186,4.650900e+01,9.982311
187,4.676200e+01,9.981192
188,4.701300e+01,9.988036
189,4.726200e+01,9.994314
190,4.751100e+01,9.999610
191,4.776500e+01,10.006967
192,4.802100e+01,10.007336
193,4.826100e+01,9.997365
194,4.851000e+01,9.994648
195,4.876500e+01,9.995312
196,4.901600e+01,9.993751
197,4.926500e+01,9.992514
198,4.951400e+01,9.993503
199,4.976200e+01,9.992524
200,5.001500e+01,9.990773
201,5.026000e+01,9.988876
202,5.051000e+01,9.988187
203,5.076300e+01,9.989195
204,5.101700e+01,9.992408
205,5.126200e+01,9.986835
206,5.151000e+01,9.983406
207,5.176700e+01,9.980368
208,5.201600e+01,9.977596
209,5.226500e+01,9.975690
210,5.251000e+01,9.974532
211,5.276100e+01,9.977616
212,5.301300e+01,9.988847
213,5.326000e+01,9.993800
214,5.351200e+01,9.991839
215,5.376200e+01,9.992415
216,5.401300e+01,9.988811
217,5.426000e+01,9.988924
218,5.451700e+01,9.990232
219,5.476500e+01,9.992260
220,5.501000e+01,9.994685
221,5.526400e+01,9.992496
222,5.551400e+01,9.988959
223,5.576800e+01,9.986724
224,5.601500e+01,9.988323
225,5.626200e+01,9.992531
226,5.651300e+01,9.997562
227,5.676700e+01,10.000619
228,5.701900e+01,10.001372
229,5.726500e+01,10.002851
230,5.751100e+01,10.001269
231,5.776500e+01,10.000764
232,5.802600e+01,10.000053
233,5.826200e+01,10.003391
234,5.851500e+01,10.009139
235,5.877400e+01,10.013563
236,5.901600e+01,10.013754
237,5.927100e+01,10.013093
238,5.951100e+01,10.010407
239,5.977100e+01,10.012987
240,6.001100e+01,10.014507
241,6.026200e+01,10.014053
242,6.051200e+01,10.011284
243,6.076200e+01,10.003043
244,6.101500e+01,10.001874
245,6.127200e+01,9.999267
246,6.151500e+01,9.999892
247,6.176800e+01,10.010761
248,6.201500e+01,10.014904
249,6.226700e+01,10.014646
250,6.251900e+01,10.008607
251,6.276400e+01,10.002060
252,6.301300e+01,10.003347
253,6.326000e+01,10.006076
254,6.351700e+01,10.008509
255,6.376300e+01,10.011641
256,6.401400e+01,10.011884
257,6.426100e+01,10.012894
258,6.451500e+01,10.010756
259,6.476300e+01,10.002948
260,6.501300e+01,9.999616
261,6.526300e+01,9.997273
262,6.551500e+01,9.996055
263,6.576300e+01,9.991671
264,6.601000e+01,9.988429
265,6.626000e+01,9.986999
266,6.651000e+01,9.991770
267,6.676300e+01,9.990113
268,6.703000e+01,9.988113
269,6.725900e+01,9.988710
