Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,5.100000e-02,59.997517,1.022340e-01,-8.778000
1,1.044000e+00,59.998669,1.011360e-01,-8.778000
2,2.044000e+00,60.000607,1.000370e-01,-8.772000
3,3.043000e+00,60.001232,9.899950e-02,-8.772000
4,4.043000e+00,59.997833,9.796190e-02,-8.772000
5,5.040000e+00,59.986034,9.692430e-02,-8.784000
6,6.037000e+00,59.957298,9.588670e-02,-8.778000
7,7.057000e+00,59.914639,9.484910e-02,-8.772000
8,8.044000e+00,59.857788,9.381150e-02,-8.784000
9,9.049000e+00,59.781994,9.289600e-02,-8.778000
10,1.004500e+01,59.701012,9.185840e-02,-8.784000
11,1.104500e+01,59.611824,9.088180e-02,-8.772000
12,1.204500e+01,59.513245,8.990530e-02,-8.784000
13,1.304300e+01,59.408794,8.892870e-02,-8.772000
14,1.404100e+01,59.301113,8.801320e-02,-8.778000
15,1.503600e+01,59.189873,8.709760e-02,-8.784000
16,1.603600e+01,59.075607,8.612110e-02,-8.790000
17,1.704400e+01,58.960392,8.520560e-02,-8.772000
18,1.804300e+01,58.844337,8.435110e-02,-8.772000
19,1.904100e+01,58.732880,8.337450e-02,-8.778000
20,2.004200e+01,58.621090,8.252000e-02,-8.778000
21,2.104300e+01,58.511818,8.166550e-02,-8.778000
22,2.204500e+01,58.406918,8.075000e-02,-8.778000
23,2.303900e+01,58.307209,7.995650e-02,-8.772000
24,2.403600e+01,58.214584,7.910200e-02,-8.778000
25,2.504300e+01,58.124332,7.824750e-02,-8.796000
26,2.604900e+01,58.037445,7.739310e-02,-8.790000
27,2.704500e+01,57.955387,7.659960e-02,-8.784000
28,2.804100e+01,57.879387,7.580610e-02,-8.778000
29,2.904000e+01,57.805161,7.495160e-02,-8.796000
30,3.004300e+01,57.732105,7.415820e-02,-8.784000
31,3.104500e+01,57.663891,7.342580e-02,-8.778000
32,3.204000e+01,57.595081,7.257130e-02,-8.790000
33,3.304000e+01,57.532310,7.183890e-02,-8.778000
34,3.404500e+01,57.467426,7.104540e-02,-8.790000
35,3.504900e+01,57.404556,7.031300e-02,-8.778000
36,3.604400e+01,57.340164,6.958060e-02,-8.790000
37,3.705000e+01,57.279099,6.878710e-02,-8.802000
38,3.804600e+01,57.207603,6.811570e-02,-8.784000
39,3.904400e+01,57.139149,6.738330e-02,-8.790000
40,4.004300e+01,57.070808,6.665090e-02,-8.796000
41,4.103700e+01,57.002449,6.591840e-02,-8.802000
42,4.205000e+01,56.932625,6.524710e-02,-8.784000
43,4.304400e+01,56.865513,6.457570e-02,-8.790000
44,4.404400e+01,56.792412,6.384330e-02,-8.790000
45,4.504300e+01,56.719810,6.317190e-02,-8.796000
46,4.604300e+01,56.644127,6.250050e-02,-8.796000
47,4.704300e+01,56.571091,6.182890e-02,-8.802000
48,4.803700e+01,56.495899,6.121850e-02,-8.802000
49,4.904300e+01,56.418930,6.054710e-02,-8.802000
50,5.003600e+01,56.342693,5.987570e-02,-8.802000
51,5.105300e+01,56.263805,5.926540e-02,-8.802000
52,5.204500e+01,56.185783,5.865500e-02,-8.790000
53,5.304400e+01,56.108803,5.798360e-02,-8.790000
54,5.403900e+01,56.031322,5.737330e-02,-8.814000
55,5.504400e+01,55.956554,5.676290e-02,-8.808000
56,5.604500e+01,55.878113,5.615260e-02,-8.802000
57,5.704500e+01,55.797169,5.554220e-02,-8.796000
58,5.804300e+01,55.720299,5.499290e-02,-8.814000
59,5.903700e+01,55.645645,5.438260e-02,-8.808000
60,6.005700e+01,55.567844,5.377220e-02,-8.796000
61,6.104400e+01,55.492268,5.322290e-02,-8.820000
62,6.204500e+01,55.415730,5.267360e-02,-8.808000
63,6.305100e+01,55.338245,5.212430e-02,-8.784000
64,6.404700e+01,55.262020,5.157490e-02,-8.808000
65,6.504400e+01,55.185112,5.102560e-02,-8.790000
66,6.604500e+01,55.111717,5.047630e-02,-8.808000
67,6.704800e+01,55.028172,4.992700e-02,-8.826000
68,6.804000e+01,54.954288,4.937770e-02,-8.808000
69,6.904300e+01,54.880642,4.888940e-02,-8.820000
70,7.004400e+01,54.807339,4.834010e-02,-8.802000
71,7.104200e+01,54.733658,4.785180e-02,-8.814000
72,7.204200e+01,54.658714,4.736350e-02,-8.826000
73,7.304300e+01,54.585423,4.681420e-02,-8.796000
74,7.404900e+01,54.511448,4.632590e-02,-8.814000
75,7.504300e+01,54.437389,4.583760e-02,-8.820000
76,7.604000e+01,54.363476,4.534940e-02,-8.832000
77,7.703900e+01,54.289745,4.486110e-02,-8.796000
78,7.804200e+01,54.217148,4.437280e-02,-8.802000
79,7.905600e+01,54.141811,4.394560e-02,-8.814000
80,8.004200e+01,54.065704,4.345730e-02,-8.820000
81,8.105600e+01,53.991943,4.296900e-02,-8.826000
82,8.204200e+01,53.915180,4.254170e-02,-8.826000
83,8.304300e+01,53.840260,4.205350e-02,-8.832000
84,8.404200e+01,53.766441,4.162620e-02,-8.838000
85,8.504200e+01,53.694595,4.119900e-02,-8.838000
86,8.604100e+01,53.616016,4.077170e-02,-8.838000
87,8.704100e+01,53.538742,4.028340e-02,-8.838000
88,8.804200e+01,53.463932,3.985620e-02,-8.838000
89,8.904300e+01,53.388718,3.949000e-02,-8.832000
90,9.004200e+01,53.314148,3.906270e-02,-8.832000
91,9.104200e+01,53.242119,3.863550e-02,-8.826000
92,9.204200e+01,53.165245,3.820820e-02,-8.820000
93,9.304600e+01,53.089966,3.778100e-02,-8.814000
94,9.404300e+01,53.013298,3.741480e-02,-8.808000
95,9.505100e+01,52.928364,3.698750e-02,-8.850000
96,9.604200e+01,52.854511,3.662130e-02,-8.844000
97,9.705400e+01,52.779087,3.625510e-02,-8.832000
98,9.804200e+01,52.704140,3.582790e-02,-8.820000
99,9.904200e+01,52.627838,3.546170e-02,-8.862000
100,1.000410e+02,52.552204,3.509550e-02,-8.844000
101,1.010410e+02,52.477676,3.472920e-02,-8.826000
102,1.020420e+02,52.400558,3.436300e-02,-8.814000
103,1.030380e+02,52.323898,3.399680e-02,-8.850000
104,1.040530e+02,52.249836,3.363060e-02,-8.838000
105,1.050430e+02,52.172161,3.326440e-02,-8.808000
106,1.060420e+02,52.095535,3.289820e-02,-8.850000
107,1.070410e+02,52.018124,3.259300e-02,-8.826000
108,1.080420e+02,51.943996,3.222680e-02,-8.868000
109,1.090420e+02,51.864693,3.186060e-02,-8.838000
110,1.100430e+02,51.787083,3.149440e-02,-8.874000
111,1.110420e+02,51.712975,3.118910e-02,-8.850000
112,1.120390e+02,51.637085,3.082290e-02,-8.880000
113,1.130570e+02,51.562584,3.051770e-02,-8.844000
114,1.140390e+02,51.492477,3.021250e-02,-8.880000
115,1.150370e+02,51.417046,2.990730e-02,-8.850000
116,1.160400e+02,51.338848,2.954110e-02,-8.880000
117,1.170490e+02,51.263905,2.923600e-02,-8.838000
118,1.180370e+02,51.190159,2.893080e-02,-8.874000
119,1.190420e+02,51.115356,2.862560e-02,-8.838000
120,1.200370e+02,51.042019,2.832040e-02,-8.862000
121,1.210390e+02,50.968483,2.801530e-02,-8.892000
122,1.220470e+02,50.895008,2.771010e-02,-8.850000
123,1.230450e+02,50.820835,2.740490e-02,-8.868000
124,1.240450e+02,50.739635,2.716080e-02,-8.898000
125,1.250420e+02,50.665981,2.685560e-02,-8.844000
126,1.260410e+02,50.593292,2.655040e-02,-8.874000
127,1.270410e+02,50.520386,2.624520e-02,-8.892000
128,1.280410e+02,50.444416,2.594010e-02,-8.844000
129,1.290430e+02,50.371197,2.569590e-02,-8.862000
130,1.300380e+02,50.297802,2.545180e-02,-8.880000
131,1.310410e+02,50.224842,2.514660e-02,-8.904000
132,1.320410e+02,50.147697,2.490250e-02,-8.844000
133,1.330480e+02,50.072239,2.465830e-02,-8.862000
134,1.340410e+02,49.997154,2.435310e-02,-8.880000
135,1.350410e+02,49.921848,2.410900e-02,-8.892000
136,1.360410e+02,49.845863,2.386490e-02,-8.910000
137,1.370410e+02,49.770573,2.362070e-02,-8.838000
138,1.380410e+02,49.693310,2.331550e-02,-8.856000
139,1.390410e+02,49.617344,2.313240e-02,-8.862000
140,1.400550e+02,49.540203,2.282730e-02,-8.886000
141,1.410430e+02,49.464344,2.258310e-02,-8.892000
142,1.420380e+02,49.388920,2.233900e-02,-8.904000
143,1.430410e+02,49.314617,2.215590e-02,-8.910000
144,1.440420e+02,49.239033,2.191170e-02,-8.916000
145,1.450410e+02,49.165379,2.166760e-02,-8.928000
146,1.460390e+02,49.090969,2.142350e-02,-8.934000
147,1.470400e+02,49.018177,2.117930e-02,-8.856000
