Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,3.600000e-02,4.997538,5.850260e-01,-16.002000
1,2.860000e-01,4.997824,5.850260e-01,-15.936000
2,5.370000e-01,5.007060,5.852090e-01,-15.996000
3,7.870000e-01,5.010223,5.852090e-01,-15.996000
4,1.045000e+00,5.013842,5.853310e-01,-15.912000
5,1.287000e+00,5.015474,5.850870e-01,-15.996000
6,1.532000e+00,5.015292,5.854530e-01,-15.906000
7,1.781000e+00,5.016359,5.849040e-01,-15.990000
8,2.038000e+00,5.021264,5.849040e-01,-15.984000
9,2.290000e+00,5.024960,5.848430e-01,-15.978000
10,2.550000e+00,5.033991,5.849650e-01,-15.972000
11,2.788000e+00,5.033237,5.849040e-01,-15.966000
12,3.036000e+00,5.034361,5.850260e-01,-15.954000
13,3.294000e+00,5.035799,5.850870e-01,-15.942000
14,3.539000e+00,5.037426,5.851480e-01,-15.936000
15,3.794000e+00,5.039501,5.851480e-01,-15.924000
16,4.051000e+00,5.041950,5.852700e-01,-15.912000
17,4.294000e+00,5.047458,5.853920e-01,-15.978000
18,4.544000e+00,5.057569,5.853310e-01,-15.906000
19,4.791000e+00,5.063196,5.852700e-01,-15.984000
20,5.036000e+00,5.071326,5.855140e-01,-15.894000
21,5.289000e+00,5.072294,5.855750e-01,-15.984000
22,5.537000e+00,5.070067,5.850870e-01,-15.984000
23,5.790000e+00,5.073678,5.850260e-01,-15.984000
24,6.040000e+00,5.083200,5.850260e-01,-15.984000
25,6.290000e+00,5.099862,5.849650e-01,-15.978000
26,6.547000e+00,5.108772,5.850260e-01,-15.966000
27,6.789000e+00,5.114185,5.850260e-01,-15.960000
28,7.044000e+00,5.123583,5.850870e-01,-15.942000
29,7.289000e+00,5.147236,5.851480e-01,-15.942000
30,7.543000e+00,5.164316,5.852090e-01,-15.930000
31,7.791000e+00,5.177919,5.853310e-01,-15.978000
32,8.047000e+00,5.187325,5.854530e-01,-15.918000
33,8.289000e+00,5.208871,5.855140e-01,-15.912000
34,8.542000e+00,5.217943,5.855750e-01,-15.900000
35,8.787000e+00,5.225829,5.856970e-01,-15.900000
36,9.043000e+00,5.240047,5.858190e-01,-15.978000
37,9.289000e+00,5.260077,5.853920e-01,-15.978000
38,9.534000e+00,5.273532,5.853920e-01,-15.972000
39,9.791000e+00,5.279669,5.853310e-01,-15.960000
40,1.004300e+01,5.296552,5.853920e-01,-15.954000
41,1.029100e+01,5.324422,5.853920e-01,-15.948000
42,1.054500e+01,5.344298,5.855140e-01,-15.936000
43,1.079000e+01,5.357899,5.855750e-01,-15.930000
44,1.104600e+01,5.380418,5.856360e-01,-15.918000
45,1.128900e+01,5.389024,5.856360e-01,-15.912000
46,1.154400e+01,5.401203,5.857580e-01,-15.906000
47,1.178500e+01,5.426569,5.858800e-01,-15.894000
48,1.203900e+01,5.457341,5.860630e-01,-15.882000
49,1.229600e+01,5.474370,5.860630e-01,-15.960000
50,1.253900e+01,5.487907,5.860020e-01,-15.954000
51,1.278800e+01,5.504430,5.863690e-01,-15.870000
52,1.304700e+01,5.524256,5.859410e-01,-15.954000
53,1.329100e+01,5.543825,5.859410e-01,-15.954000
54,1.354700e+01,5.557310,5.859410e-01,-15.948000
55,1.378900e+01,5.577746,5.859410e-01,-15.936000
56,1.404700e+01,5.604129,5.859410e-01,-15.930000
57,1.428900e+01,5.621363,5.858800e-01,-15.924000
58,1.454900e+01,5.633161,5.859410e-01,-15.912000
59,1.479100e+01,5.656541,5.860020e-01,-15.900000
60,1.504700e+01,5.683474,5.860630e-01,-15.888000
61,1.529600e+01,5.698006,5.860630e-01,-15.882000
62,1.553900e+01,5.718975,5.861240e-01,-15.870000
63,1.581000e+01,5.752430,5.864300e-01,-15.936000
64,1.604800e+01,5.770634,5.864300e-01,-15.936000
65,1.629100e+01,5.790174,5.864300e-01,-15.930000
66,1.654900e+01,5.808896,5.867350e-01,-15.840000
67,1.679200e+01,5.825230,5.868570e-01,-15.918000
68,1.704900e+01,5.852382,5.864910e-01,-15.906000
69,1.729400e+01,5.851737,5.864910e-01,-15.882000
70,1.754000e+01,5.869855,5.864910e-01,-15.894000
71,1.779900e+01,5.886974,5.865520e-01,-15.882000
72,1.804000e+01,5.910163,5.866130e-01,-15.870000
73,1.830000e+01,5.923534,5.866740e-01,-15.864000
74,1.854000e+01,5.944524,5.866740e-01,-15.852000
75,1.880000e+01,5.983244,5.867960e-01,-15.840000
76,1.903700e+01,6.010949,5.869790e-01,-15.828000
77,1.929600e+01,6.029337,5.869790e-01,-15.816000
78,1.953400e+01,6.037684,5.871010e-01,-15.810000
79,1.978900e+01,6.058977,5.871620e-01,-15.882000
80,2.004600e+01,6.071828,5.871620e-01,-15.882000
81,2.029100e+01,6.082126,5.871010e-01,-15.882000
82,2.054700e+01,6.108301,5.871010e-01,-15.876000
83,2.079100e+01,6.135667,5.871620e-01,-15.864000
84,2.105000e+01,6.150779,5.872230e-01,-15.858000
85,2.128500e+01,6.167141,5.872230e-01,-15.846000
86,2.154000e+01,6.179938,5.872230e-01,-15.840000
87,2.178300e+01,6.207375,5.872230e-01,-15.834000
88,2.204100e+01,6.215788,5.872840e-01,-15.816000
89,2.230100e+01,6.219161,5.873450e-01,-15.810000
90,2.253800e+01,6.230321,5.874670e-01,-15.792000
91,2.280300e+01,6.250947,5.879550e-01,-15.828000
