Point,Time (s),Temperature (K)
185,4.625800e+01,49.987976
186,4.651000e+01,49.987453
187,4.675700e+01,49.987114
188,4.701000e+01,49.987022
189,4.726100e+01,49.987083
190,4.751200e+01,49.985481
191,4.775800e+01,49.985241
192,4.801200e+01,49.985153
193,4.825800e+01,49.984985
194,4.851200e+01,49.984615
195,4.876200e+01,49.984589
196,4.900800e+01,49.983978
197,4.926300e+01,49.984161
198,4.951400e+01,49.983791
199,4.976300e+01,49.984531
200,5.001800e+01,49.984238
201,5.025900e+01,49.984074
202,5.051300e+01,49.984879
203,5.076800e+01,49.985611
204,5.101200e+01,49.985859
205,5.126200e+01,49.985447
206,5.151500e+01,49.985775
207,5.176000e+01,49.985596
208,5.201000e+01,49.986080
209,5.225900e+01,49.985527
210,5.251400e+01,49.985420
211,5.276200e+01,49.985409
212,5.301300e+01,49.985710
213,5.326000e+01,49.985870
214,5.351200e+01,49.986923
215,5.375800e+01,49.986202
216,5.401000e+01,49.986073
217,5.427300e+01,49.986576
218,5.450800e+01,49.986458
219,5.476200e+01,49.987759
220,5.501700e+01,49.988781
221,5.526200e+01,49.989269
222,5.551100e+01,49.989319
223,5.576100e+01,49.989887
224,5.601200e+01,49.990047
225,5.625800e+01,49.991959
226,5.651100e+01,49.992577
227,5.676600e+01,49.993744
228,5.701300e+01,49.994461
229,5.726200e+01,49.994869
230,5.750900e+01,49.994392
231,5.776300e+01,49.995445
232,5.800800e+01,49.995808
233,5.826100e+01,49.996265
234,5.850800e+01,49.997002
235,5.876200e+01,49.997231
236,5.900700e+01,49.998672
237,5.926600e+01,49.999531
238,5.951100e+01,49.999836
239,5.976100e+01,49.999474
240,6.001100e+01,49.999123
241,6.025800e+01,49.999432
242,6.051200e+01,49.998871
243,6.076200e+01,49.999187
244,6.101800e+01,49.998108
245,6.126300e+01,49.997990
246,6.150800e+01,49.998199
247,6.176100e+01,49.999493
248,6.200800e+01,50.000278
249,6.225700e+01,50.001328
250,6.251200e+01,50.002010
251,6.275800e+01,50.002312
252,6.301800e+01,50.003456
253,6.326000e+01,50.001919
254,6.351300e+01,50.001625
255,6.376300e+01,50.001942
256,6.401700e+01,50.001644
257,6.426200e+01,50.000774
258,6.450800e+01,50.001080
259,6.476200e+01,50.000969
260,6.501200e+01,50.000908
261,6.526200e+01,50.000198
262,6.551200e+01,49.998623
263,6.576200e+01,49.998653
264,6.601800e+01,49.997341
265,6.625900e+01,49.997787
266,6.651000e+01,49.998302
267,6.676200e+01,49.997673
268,6.701400e+01,49.997696
269,6.726000e+01,49.998188
270,6.751400e+01,49.998425
271,6.776200e+01,49.998135
272,6.801200e+01,49.998608
273,6.826100e+01,49.998238
274,6.851200e+01,49.997128
275,6.876200e+01,49.996796
276,6.900900e+01,49.996258
277,6.926200e+01,49.996460
278,6.951300e+01,49.996185
279,6.976300e+01,49.996567
280,7.001600e+01,49.996159
281,7.026200e+01,49.996510
282,7.051600e+01,49.997452
