Point,Time (s),Temperature (K)
212,5.300800e+01,49.727951
213,5.326200e+01,49.725513
214,5.350800e+01,49.724541
215,5.376200e+01,49.722683
216,5.402400e+01,49.721027
217,5.425700e+01,49.719162
218,5.451200e+01,49.717506
219,5.476100e+01,49.715019
220,5.501700e+01,49.713982
221,5.526200e+01,49.711601
222,5.551100e+01,49.710865
223,5.576200e+01,49.709572
224,5.601200e+01,49.709114
225,5.626200e+01,49.708714
226,5.651200e+01,49.708496
227,5.676100e+01,49.708248
228,5.701000e+01,49.709248
229,5.726100e+01,49.710350
230,5.751200e+01,49.710915
231,5.775800e+01,49.710876
232,5.801600e+01,49.711559
233,5.826400e+01,49.712883
234,5.851100e+01,49.714081
235,5.876200e+01,49.715481
236,5.900900e+01,49.716816
237,5.926000e+01,49.717419
238,5.951200e+01,49.718578
239,5.976600e+01,49.719410
240,6.000900e+01,49.720047
241,6.026200e+01,49.720161
242,6.051100e+01,49.720749
243,6.076200e+01,49.721100
244,6.102000e+01,49.722263
245,6.126600e+01,49.723103
246,6.151200e+01,49.722523
