Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,5.000000e-02,29.902298,5.603680e-01,-10.578000
1,2.960000e-01,29.970028,5.606730e-01,-10.494000
2,5.340000e-01,30.014927,5.605510e-01,-10.554000
3,7.920000e-01,30.061594,5.603680e-01,-10.482000
4,1.049000e+00,30.108196,5.604290e-01,-10.476000
5,1.293000e+00,30.176262,5.603680e-01,-10.476000
6,1.537000e+00,30.220428,5.603070e-01,-10.482000
7,1.793000e+00,30.262531,5.602460e-01,-10.482000
8,2.050000e+00,30.303976,5.601230e-01,-10.494000
9,2.293000e+00,30.359350,5.600620e-01,-10.500000
10,2.542000e+00,30.395439,5.600010e-01,-10.494000
11,2.793000e+00,30.427362,5.599400e-01,-10.512000
12,3.049000e+00,30.456377,5.598180e-01,-10.518000
13,3.290000e+00,30.491102,5.596960e-01,-10.530000
14,3.535000e+00,30.510920,5.596960e-01,-10.536000
15,3.791000e+00,30.525740,5.596960e-01,-10.542000
16,4.038000e+00,30.537378,5.596350e-01,-10.548000
17,4.291000e+00,30.547791,5.593910e-01,-10.548000
18,4.540000e+00,30.550358,5.591470e-01,-10.548000
19,4.797000e+00,30.549135,5.590860e-01,-10.476000
20,5.039000e+00,30.540392,5.589640e-01,-10.464000
21,5.297000e+00,30.529799,5.589030e-01,-10.470000
22,5.540000e+00,30.516527,5.588420e-01,-10.470000
23,5.792000e+00,30.501156,5.585980e-01,-10.476000
24,6.040000e+00,30.472822,5.584750e-01,-10.476000
25,6.298000e+00,30.450897,5.582920e-01,-10.482000
26,6.545000e+00,30.427439,5.582920e-01,-10.488000
27,6.785000e+00,30.403580,5.581700e-01,-10.494000
28,7.042000e+00,30.365562,5.581090e-01,-10.500000
29,7.299000e+00,30.340038,5.573770e-01,-10.482000
30,7.541000e+00,30.314756,5.577430e-01,-10.518000
31,7.798000e+00,30.289980,5.575600e-01,-10.518000
32,8.041000e+00,30.255020,5.571940e-01,-10.458000
33,8.299000e+00,30.232828,5.572550e-01,-10.452000
34,8.543000e+00,30.211203,5.571940e-01,-10.452000
35,8.798000e+00,30.192722,5.571940e-01,-10.446000
36,9.042000e+00,30.168646,5.568890e-01,-10.452000
37,9.298000e+00,30.155672,5.571940e-01,-10.458000
38,9.541000e+00,30.146528,5.570720e-01,-10.470000
39,9.798000e+00,30.142405,5.570720e-01,-10.476000
40,1.004200e+01,30.142462,5.570720e-01,-10.488000
41,1.029800e+01,30.147062,5.571330e-01,-10.488000
42,1.054200e+01,30.157583,5.570720e-01,-10.500000
43,1.080700e+01,30.181284,5.570720e-01,-10.506000
44,1.103900e+01,30.203785,5.571330e-01,-10.518000
