Point,Time (s),Temperature (K),Amplitude (V),Phase (Degrees)
0,4.100000e-02,10.001437,9.726790e-06,95.814000
1,5.410000e-01,9.991586,8.959380e-06,97.968000
2,1.045000e+00,9.987323,2.083570e-05,140.148000
3,1.540000e+00,9.983938,1.754250e-05,96.924000
4,2.041000e+00,9.949752,1.468520e-05,66.408000
5,2.540000e+00,9.955021,1.667450e-05,100.884000
6,3.040000e+00,9.958672,1.943500e-05,106.080000
7,3.557000e+00,9.981009,1.263250e-05,-0.582000
8,4.043000e+00,10.009379,1.005830e-05,94.494000
9,4.541000e+00,10.015850,1.496450e-05,88.806000
10,5.041000e+00,10.017174,1.506510e-05,109.374000
11,5.541000e+00,10.020877,1.904380e-05,88.656000
12,6.041000e+00,10.028559,1.252080e-05,82.578000
13,6.541000e+00,10.024877,1.099340e-05,67.344000
14,7.040000e+00,10.011571,1.802310e-05,79.302000
15,7.547000e+00,10.007468,2.437100e-05,73.902000
16,8.042000e+00,10.006813,1.773620e-05,59.382000
17,8.539000e+00,10.004723,1.099710e-05,72.372000
18,9.041000e+00,10.008864,1.809760e-05,96.708000
19,9.547000e+00,9.994028,1.861910e-05,89.952000
20,1.004600e+01,9.980095,1.779960e-05,59.880000
21,1.054600e+01,9.975452,1.525890e-05,82.656000
22,1.104100e+01,9.980699,1.490490e-05,94.368000
23,1.154600e+01,9.978442,1.908110e-05,96.816000
24,1.204700e+01,9.982276,2.155460e-05,91.920000
25,1.254600e+01,9.987375,5.818930e-06,56.562000
26,1.304100e+01,9.983001,1.186140e-05,85.164000
27,1.354100e+01,9.986223,1.712900e-05,103.704000
28,1.404200e+01,9.990481,9.860900e-06,68.394000
29,1.454000e+01,9.992788,1.383950e-05,58.248000
30,1.504200e+01,9.977224,1.409660e-05,108.258000
31,1.554000e+01,9.931142,1.682730e-05,102.534000
32,1.604100e+01,9.940109,1.655900e-05,75.168000
33,1.654400e+01,9.956758,1.829870e-05,76.422000
34,1.704100e+01,9.967710,1.506510e-05,103.242000
35,1.754000e+01,9.972330,1.797460e-05,94.572000
36,1.804200e+01,9.968271,1.301250e-05,65.802000
37,1.854300e+01,9.941841,8.784290e-06,115.068000
38,1.904200e+01,9.956240,2.107780e-05,38.490000
39,1.954200e+01,9.971415,9.641110e-06,92.244000
40,2.004000e+01,9.963392,1.526260e-05,102.882000
41,2.054100e+01,9.927433,1.206250e-05,86.388000
42,2.106400e+01,9.911151,3.099460e-06,66.390000
43,2.154600e+01,9.921109,1.067670e-05,85.812000
44,2.204100e+01,9.924371,1.486770e-05,100.824000
45,2.254100e+01,9.953112,1.447280e-05,90.042000
46,2.304000e+01,9.971314,1.385070e-05,66.870000
47,2.354000e+01,9.976198,1.443930e-05,115.050000
48,2.404900e+01,9.976125,2.051160e-05,86.454000
49,2.454000e+01,9.957673,1.965100e-05,107.484000
50,2.504800e+01,9.912576,1.937160e-05,76.794000
51,2.554300e+01,9.891307,4.652920e-06,85.506000
52,2.604400e+01,9.895801,1.461440e-05,98.166000
53,2.654200e+01,9.935222,1.630200e-05,70.590000
54,2.704200e+01,9.968503,9.968940e-06,60.930000
55,2.754200e+01,9.979863,9.980110e-06,89.376000
56,2.804000e+01,9.984069,6.176560e-06,98.172000
57,2.854200e+01,9.981413,2.446410e-05,109.506000
58,2.904000e+01,9.924498,1.524020e-05,86.280000
59,2.954100e+01,9.903995,1.283740e-05,91.656000
60,3.005000e+01,9.928649,8.441570e-06,73.326000
61,3.054300e+01,9.945498,2.092510e-05,91.356000
62,3.104000e+01,9.906363,1.569480e-05,98.196000
63,3.154000e+01,9.889900,1.205880e-05,90.654000
64,3.204000e+01,9.915702,8.814100e-06,81.546000
65,3.254000e+01,9.936110,2.278400e-05,99.918000
66,3.304700e+01,9.951866,1.155960e-05,89.202000
67,3.353900e+01,9.954678,1.619770e-05,94.470000
68,3.404100e+01,9.948422,1.246120e-05,102.222000
69,3.454100e+01,9.942039,1.756860e-05,89.772000
70,3.504100e+01,9.926715,1.662610e-05,70.998000
71,3.554600e+01,9.899100,1.639140e-05,59.814000
72,3.604000e+01,9.903468,1.484160e-05,84.690000
73,3.654000e+01,9.898169,5.230340e-06,88.110000
74,3.704200e+01,9.888397,1.291940e-05,86.748000
75,3.754100e+01,9.867517,1.877190e-05,93.030000
76,3.804200e+01,9.876230,1.306090e-05,89.988000
77,3.855200e+01,9.892043,1.292310e-05,114.108000
78,3.904100e+01,9.904397,1.537440e-05,82.164000
